## $Header: inputFile.txt $
## Version: 1.0
## Date: 10-Dec-2024
##
## +===========================================================================+
## |  Copyright (c) 2024 Oracle Corporation, Redwood Shores, California, USA   |
## |                        All rights reserved                                |
## |                       Applications  Division                              |
## +===========================================================================+
## |
## | FILENAME
## |   inputFile.txt
## |
## | DESCRIPTION
## |   This is the input file for the initParamValidation.pl script. This file must not be altered manually. 
#
## | VERSION HISTORY:
## |       VER                  CHANGED BY                    DATE                  COMMENT
## | ==============================================================================================================
## |       1.0              debasmis adssriva               10 Dec 2024         parameters for  db23 and db19
## |                        
EBSVER|DBVER|PLATFORM|PARAMETER|VALUE|MANDATORY|TYPE|SCOPE|ACTION
12.2|db19|GEN|db_block_size|8192|Y|FIXSP|CDB|The required block size for Oracle E-Business Suite is 8192 bytes. No other value may be used.
12.2|db19|GEN|_system_trig_enabled|TRUE|Y|FIX|ANY|Parameter value must be set to TRUE. If _system_trig_enabled parameter is set to FALSE it will prevent system triggers from being executed.
12.2|db19|GEN|nls_language|american|N|OTHER|ANY|NLS and character set parameter.
12.2|db19|GEN|nls_territory|america|N|OTHER|ANY|NLS and character set parameter.
12.2|db19|GEN|nls_numeric_characters|.,|N|OTHER|ANY|NLS and character set parameter.
12.2|db19|GEN|nls_comp|binary|Y|FIXSP|ANY|NLS and character set parameter. Mandatory parameter and value  must be set to a specific setting.
12.2|db19|GEN|nls_sort|binary|Y|FIXSP|ANY|NLS and character set parameter. Mandatory parameter and value  must be set to a specific setting.
12.2|db19|GEN|nls_date_format|DD-MON-RR|Y|FIXSP|ANY|NLS and character set parameter. Mandatory parameter and value  must be set to a specific setting.
12.2|db19|GEN|nls_length_semantics|BYTE|Y|FIXSP|ANY|NLS and character set parameter. Mandatory parameter and value  must be set to a specific setting.
12.2|db19|GEN|audit_trail|TRUE|N|OTHER|CDB|There is a performance overhead for enabling the Database audit_trail  parameter. Remove/unset or comment (# audit_trail)  this parameter if you want to disable audit_trail.
12.2|db19|GEN|diagnostic_dest|?/prod12|N|OTHER|ANY|For the database, the Automatic Diagnostic Repository (ADR) will be created as <diagnostic_dest>/diag/rdbms/<dbname>/<instname>, directory Files located in the ADR include : Trace files, Alert logs, Core files, Incident files
12.2|db19|GEN|max_dump_file_size|20480|N|OTHER|ANY|Specifies the maximum size of trace files (excluding the alert file). Limit the size, if you are concerned that trace files may use too much space.
12.2|db19|GEN|undo_management|AUTO|Y|FIXSP|ANY|System-Managed Undo Parameter. Oracle E-Business Suite requires the use of System Managed Undo (SMU). You must first create an undo tablespace and then set the UNDO_MANAGEMENT initialization parameter to AUTO
12.2|db19|GEN|undo_tablespace|APPS_UNDOTS1|N|OTHER|ANY|System-Managed Undo Parameter. undo_tablespace must be created when you are in automatic undo management mode (undo_management=auto)
12.2|db19|GEN|plsql_code_type|NATIVE|N|FIX|ANY|It is used to enable the PL/SQL global optimizer as well as native compilation. PL/SQL native compilation is recommended for Oracle Database 11g or 12c or 19c or 23ai based Oracle E-Business Suite environments.
12.2|db19|GEN|_trace_files_public|FALSE|N|OTHER|CDB|Trace file accessibility parameter. Setting this parameter to FALSE is recommended, but it can be enabled on non-production databases to facilitate easier trace file analysis. Warning: Consider the security implications of setting this to TRUE as trace files may include secure data in BIND variables. 
12.2|db19|GEN|processes|200|Y|SIZING|ANY|Specifies the maximum number of operating system user processes that can simultaneously connect to Oracle. Its value should allow for all background processes such as locks, job queue processes, and parallel execution processes.
12.2|db19|GEN|sessions|400|Y|SIZING|ANY|Specifies the maximum number of sessions that can be created in the system. The sessions parameter should be set to twice the value of the processes parameter.
12.2|db19|GEN|db_files|512|Y|SIZING|ANY|Specifies the maximum number of database files that can be opened for this database.
12.2|db19|GEN|dml_locks|10000|Y|SIZING|ANY|Specifies the maximum number of DML locks obtained on a table that is undergoing a DML operation.
12.2|db19|GEN|cursor_sharing|EXACT|Y|FIX|ANY|Allows existing applications to improve SQL reuse. EXACT allows statements with identical text to share the same cursor and it is recommended.
12.2|db19|GEN|open_cursors|600|Y|SIZING|ANY|Specifies the number of cursors a session can have open at any one time.
12.2|db19|GEN|session_cached_cursors|500|Y|SIZING|ANY|Specifies the number of session cursors to cache. Repeated parse calls of the same SQL (including recursive SQL) or PL/SQL statement cause the session cursor for that statement to be moved into the session cursor cache. 
12.2|db19|GEN|sga_target|2G|Y|SIZING|ANY|Refers to the total size of the SGA. This includes all the sub-caches, such as the buffer cache, log buffer, shared pool, and large pool. Refer MOS Doc 396009.1 for the sizing table in the section Database Initialization Parameter Sizing and Footnote 1 contains sizing recommendations for sga_target.
12.2|db19|GEN|db_block_checking|FALSE|N|FIX|ANY|Specifies whether Oracle Database performs block checking for database blocks. This can be enabled and set to LOW, MEDIUM or FULL Note that this may incur an overhead of 1% - 10%.
